date,latitude,longitude,name,d2m,t2m,swvl1,jumlah_hotspot,frp
2024-12-05,4.400000000000008,96.09999999999988,Aceh,22.680499999999995,28.02120000000002,0.4045628,0,0.0
2023-06-21,2.600000000000008,95.99999999999989,Aceh,23.70147000000003,29.299000000000035,0.23653738,0,0.0
2024-03-26,2.800000000000008,97.99999999999976,Aceh,24.052480000000003,25.64830000000001,0.42459542,0,0.0
2023-03-01,4.200000000000008,96.89999999999984,Aceh,16.51245,20.06152000000003,0.38160053,0,0.0
2024-03-04,4.900000000000006,96.09999999999988,Aceh,21.62103000000002,24.197080000000028,0.39177814,0,0.0
2023-11-27,2.600000000000008,95.99999999999989,Aceh,24.45590000000004,27.518670000000043,0.40080914,0,0.0
2024-12-28,4.700000000000006,96.69999999999985,Aceh,17.721600000000024,23.21456000000001,0.43008858,0,0.0
2023-04-01,4.900000000000006,95.39999999999992,Aceh,23.815150000000017,28.59054000000004,0.39081246,0,0.0
2023-07-23,5.200000000000005,96.59999999999984,Aceh,24.24770000000001,29.372250000000008,0.39570183,0,0.0
2023-03-24,5.100000000000005,96.49999999999986,Aceh,23.735070000000007,25.83788000000004,0.4118369,0,0.0
2023-10-22,4.000000000000009,96.39999999999986,Aceh,24.14727000000005,26.28220000000005,0.42225647,0,0.0
2023-10-29,4.600000000000007,97.4999999999998,Aceh,21.15884,24.905500000000018,0.4111219,0,0.0
2023-02-18,5.200000000000005,96.69999999999985,Aceh,23.22393,25.684529999999995,0.3890381,0,0.0
2024-08-13,2.700000000000008,97.89999999999978,Aceh,24.221100000000035,29.30612000000002,0.3935656,0,0.0
2023-08-27,3.4000000000000083,97.6999999999998,Aceh,18.409100000000024,23.544500000000028,0.41855732,0,0.0
2024-04-12,4.900000000000006,97.09999999999982,Aceh,19.451300000000003,28.51095000000004,0.36711773,0,0.0
2024-01-24,5.100000000000005,96.39999999999986,Aceh,22.78393,24.877040000000022,0.38915142,0,0.0
2023-09-07,4.600000000000007,96.69999999999985,Aceh,18.60680000000002,24.271450000000016,0.45162746,0,0.0
2024-04-25,5.000000000000005,96.89999999999984,Aceh,23.12417000000005,25.56527,0.48711723,0,0.0
2023-07-10,4.400000000000008,96.29999999999988,Aceh,23.58358000000004,26.21664000000004,0.41707066,0,0.0
2023-01-30,2.4000000000000075,97.99999999999976,Aceh,23.714530000000025,28.631520000000023,0.37207466,0,0.0
2023-07-05,3.900000000000009,96.49999999999986,Aceh,20.93130000000002,29.07430000000005,0.3380432,0,0.0
2024-08-19,2.4000000000000075,98.09999999999977,Aceh,22.957850000000008,25.380980000000022,0.42463684,0,0.0
2023-09-13,2.600000000000008,97.6999999999998,Aceh,24.628000000000043,28.47094000000004,0.3851711,0,0.0
2024-11-13,4.900000000000006,95.89999999999988,Aceh,22.637260000000023,24.52316000000002,0.4150369,0,0.0
2024-06-16,3.3000000000000083,97.19999999999982,Aceh,22.813170000000014,23.54644000000002,0.4366978,0,0.0
2024-11-26,5.200000000000005,96.99999999999984,Aceh,24.48235,26.56194000000005,0.4243491,0,0.0
2024-12-04,5.100000000000005,96.69999999999985,Aceh,24.33325000000002,24.96893,0.47301155,0,0.0
2023-03-22,2.600000000000008,95.99999999999989,Aceh,24.787320000000022,28.69482000000005,0.40359932,0,0.0
2023-11-02,4.1000000000000085,97.3999999999998,Aceh,17.496640000000014,19.628750000000025,0.4158347,0,0.0
